Data Type,Group Type,Series Name,Item Name,From Date,To Date
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Manufacture of railway locomotives and rolling stock,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Manufacture of railway/tramway wagons and coaches and other railroad equipment n.e.c,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,"Manufacture of rain coats, hats, caps and school bags etc. from water proof textile fabrics or plastic sheetings",1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Manufacture of rubber products n. e. c,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,"Manufacture of textiles/textile products not elsewhere classified like linoleum, padding, wadding, upholstering and filling, etc",1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Manufacture of vegetable oils and fats (other than hydrogenated),1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Optical instruments and photographic equipment,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,"Printing of ballk notes, currency notes, postage stamps, security passes, stamp papers and other similar products",1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,"Production of indigenous sugar, 'boora', 'khandsari' 'gur', etc. from sugar-cane, palm juice, etc",1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,"Products of wood, cork, straw and plaiting materials",1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,"Repair of watches, clocks and jewellery",1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Special purpose machinery,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Cotton spinning. weaving and processing in mills,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Electric lamps and lighting equipment,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Generation and transmission of electric energy,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Manufacture of batteries and accumulators,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Manufacture of bidi,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,"Manufacture of bullock-carts, push-carts and handcarts etc.",1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Manufacture of dairy products,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,manufacture of domestic appliances,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,Manufacture of food products n.e.c,1980-1981,1997-1998
Major Industry Group for States (3-Digit),Principal Characteristics By State and By Major Industry Groups (3-Digit),1987,manufacture of general purpose machinery,1980-1981,1997-1998
