Data Type,Item Name,From Date,To Date
NIC-2008,other manufacturing n.e.c.,2008-2009,2023-2024
NIC-2008,other publishing activities,2008-2009,2023-2024
NIC-2008,others,2008-2009,2023-2024
NIC-2008,post-harvest crop activities,2008-2009,2023-2024
NIC-2008,preparation and spinning of textile fibres,2008-2009,2023-2024
NIC-2008,printing,2008-2009,2023-2024
NIC-2008,"processing  and  preserving  of  fish,  crustaceans  and  molluscs  and products there of",2008-2009,2023-2024
NIC-2008,processing and preserving of fruit and vegetables,2008-2009,2023-2024
NIC-2008,processing and preserving of meat,2008-2009,2023-2024
NIC-2008,publishing of directories and mailing lists,2008-2009,2023-2024
NIC-2008,"publishing of newspapers, journals and periodicals",2008-2009,2023-2024
NIC-2008,repair of electrical equipment,2008-2009,2023-2024
NIC-2008,repair of electronic and optical equipment,2008-2009,2023-2024
NIC-2008,repair of fabricated metal products,2008-2009,2023-2024
NIC-2008,repair of machinery,2008-2009,2023-2024
NIC-2008,repair of other equipment,2008-2009,2023-2024
NIC-2008,"repair of transport equipment, except motor vehicles",2008-2009,2023-2024
NIC-2008,reproduction of recorded media,2008-2009,2023-2024
NIC-2008,saw milling and planing of wood,2008-2009,2023-2024
NIC-2008,seed processing for propagation,2008-2009,2023-2024
NIC-2008,service activities related to printing,2008-2009,2023-2024
NIC-2008,tanning and dressing of leather; dressing and dyeing of fur,2008-2009,2023-2024
NIC-2008,total,2008-2009,2023-2024
NIC-2008,treatment and disposal of hazardous waste,2008-2009,2023-2024
NIC-2008,treatment and disposal of non-hazardous waste,2008-2009,2023-2024
NIC-2008,weaving of textiles,2008-2009,2023-2024
NIC-2008,xtraction of salt,2008-2009,2023-2024
,,,
,,,
,,,
,,,
