Data Type,Item Name,From Date,To Date
NIC-1998,Parts and accessories for motor vehicles and their engines,1998-1999,2003-2004
NIC-1998,Plastic products,1998-1999,2003-2004
NIC-1998,Printing and service activities related to printing,1998-1999,2003-2004
NIC-1998,"Production, collection and distribution of electricity",1998-1999,2003-2004
NIC-1998,"Production, processing and preservation of meat, fish, fruit vegetables, oils and fats",1998-1999,2003-2004
NIC-1998,"Products of wood, cork, straw and plaiting materials",1998-1999,2003-2004
NIC-1998,Publishing,1998-1999,2003-2004
NIC-1998,"Publishing, printing & reproduction of recorded media",1998-1999,2003-2004
NIC-1998,"Radio, TV and communication equipments and apparatus",1998-1999,2003-2004
NIC-1998,Railway and tramway locomotives and rolling stock,1998-1999,2003-2004
NIC-1998,Recycling,1998-1999,2003-2004
NIC-1998,Recycling of metal waste and scrap,1998-1999,2003-2004
NIC-1998,Recycling of non-metal waste and scrap,1998-1999,2003-2004
NIC-1998,Refined petroleum products,1998-1999,2003-2004
NIC-1998,Repair of personal and household goods,1998-1999,2003-2004
NIC-1998,Reproduction of recorded media,1998-1999,2003-2004
NIC-1998,Research and experimental development on natural sciences and engineering  (NSE),1998-1999,2003-2004
NIC-1998,Retail sale of automotive fuel,1998-1999,2003-2004
NIC-1998,Rubber and plastics products,1998-1999,2003-2004
NIC-1998,Rubber products,1998-1999,2003-2004
NIC-1998,"Sale, maintenances and repair of motor cycles and related parts and accessories",1998-1999,2003-2004
NIC-1998,Saw milling and planing of wood,1998-1999,2003-2004
NIC-1998,"Sewage and Refuse Disposal, Sanitation and Similar Actvities",1998-1999,2003-2004
NIC-1998,Software consultancy and supply,1998-1999,2003-2004
NIC-1998,Special purpose machinery,1998-1999,2003-2004
NIC-1998,"Spinning, weaving and finishing of textiles",1998-1999,2003-2004
NIC-1998,"Structural metal products, tanks, reservoirs and steam generators",1998-1999,2003-2004
NIC-1998,Supporting and auxiliary transport activities; activities of travel agencies,1998-1999,2003-2004
NIC-1998,"Tanning and dressing of leather, manufacture of luggage handbags, saddlery & harness",1998-1999,2003-2004
NIC-1998,"Television and radio receivers, sound or video recording or reproducing apparatus, and associated goods",1998-1999,2003-2004
NIC-1998,Television and radio transmitters and apparatus for line telephony and line telegraphy,1998-1999,2003-2004
NIC-1998,Temp1,1998-1999,2003-2004
NIC-1998,Temp2,1998-1999,2003-2004
NIC-1998,Temp3,1998-1999,2003-2004
NIC-1998,Textiles,1998-1999,2003-2004
NIC-1998,Tobacco products,1998-1999,2003-2004
NIC-1998,Total,1998-1999,2003-2004
NIC-1998,Transport equipment n.e.c.,1998-1999,2003-2004
NIC-1998,Watches and clocks,1998-1999,2003-2004
NIC-1998,"Wearing apparel, except fur apparel",1998-1999,2003-2004
NIC-1998,Wearing apparel; dressing and dyeing of fur,1998-1999,2003-2004
NIC-1998,Wood and products of wood & cork except furniture; articles of straw and plating materials,1998-1999,2003-2004
NIC-2004,"Agriculture, hunting and related service activities",2004-2005,2007-2008
NIC-2004,Basic metals,2004-2005,2007-2008
NIC-2004,Chemicals and chemical products,2004-2005,2007-2008
NIC-2004,"Coke, refined petroleum products and nuclear fuel",2004-2005,2007-2008
NIC-2004,Electrical machinery and apparatus n.e.c.,2004-2005,2007-2008
NIC-2004,"Fabricated metal products, except machinery and equipment",2004-2005,2007-2008
NIC-2004,Food products and beverages,2004-2005,2007-2008
NIC-2004,Furniture; manufacturing n.e.c.,2004-2005,2007-2008
NIC-2004,"Luggage, handbags, saddlery, harness & footwear; tanning and dressing of leather products",2004-2005,2007-2008
NIC-2004,Machinery and equipment n.e.c.,2004-2005,2007-2008
NIC-2004,"Medical, precision and optical instruments, watches and clocks",2004-2005,2007-2008
NIC-2004,"Motor vehicles, trailers & semi-trailers",2004-2005,2007-2008
NIC-2004,NIC-2004,2004-2005,2007-2008
